Sale Date,Product,Sales Amount,Region,Sales Rep,Payment Method
2024-10-25 07:22:45.816680,TV,193.52,East,Charlie,Cash
2024-04-28 07:22:45.816706,Laptop,475.85,East,Alice,Credit Card
2024-06-27 07:22:45.816711,Keyboard,368.68,North,Charlie,Online Payment
2024-11-14 07:22:45.816714,Printer,303.34,South,Alice,Online Payment
2024-06-05 07:22:45.816718,Printer,86.45,South,David,Bank Transfer
2024-03-30 07:22:45.816721,Headphones,86.44,South,Charlie,Online Payment
2024-06-15 07:22:45.816725,Printer,38.46,South,Alice,Credit Card
2024-09-29 07:22:45.816729,Tablet,434.43,East,Alice,Credit Card
2024-10-10 07:22:45.816738,TV,304.55,South,Bob,Bank Transfer
2024-11-03 07:22:45.816743,Mouse,356.96,East,Eva,Online Payment
2024-11-06 07:22:45.816746,Headphones,20.09,South,Eva,Online Payment
2024-06-28 07:22:45.816749,Camera,485.26,South,Bob,Cash
2024-01-27 07:22:45.816751,Headphones,417.9,East,Eva,Bank Transfer
2024-05-20 07:22:45.816755,Smartphone,114.05,West,Bob,Cash
2024-11-21 07:22:45.816758,Keyboard,99.09,South,Bob,Cash
2024-09-19 07:22:45.816761,Smartwatch,99.87,East,Bob,Cash
2024-05-06 07:22:45.816763,Headphones,159.08,North,David,Cash
2024-09-14 07:22:45.816766,TV,267.13,West,Bob,Cash
2024-05-13 07:22:45.816769,Tablet,221.65,North,Charlie,Credit Card
2024-01-18 07:22:45.816772,Mouse,152.7,West,Eva,Online Payment
2024-12-07 07:22:45.816775,TV,309.81,South,Charlie,Online Payment
2024-06-12 07:22:45.816778,Printer,78.35,East,Bob,Credit Card
2024-04-28 07:22:45.816781,Camera,153.15,West,David,Online Payment
2024-08-16 07:22:45.816783,Laptop,189.52,South,David,Credit Card
2024-10-05 07:22:45.816786,TV,233.47,South,David,Cash
2024-05-24 07:22:45.816789,Smartphone,394.74,South,Alice,Cash
2024-11-17 07:22:45.816792,Smartphone,107.84,West,Alice,Online Payment
2024-08-04 07:22:45.816794,Smartphone,261.97,West,David,Cash
2024-06-10 07:22:45.816797,Smartphone,300.28,South,Alice,Cash
2024-02-12 07:22:45.816799,Keyboard,32.76,East,David,Cash
2024-07-12 07:22:45.816802,Laptop,307.7,South,Bob,Bank Transfer
2024-01-11 07:22:45.816805,Smartphone,93.56,West,Charlie,Online Payment
2024-02-19 07:22:45.816808,Headphones,41.88,East,Charlie,Cash
2024-04-22 07:22:45.816811,Printer,474.95,West,Bob,Online Payment
2024-01-23 07:22:45.816813,Tablet,483.16,East,Alice,Bank Transfer
2024-08-10 07:22:45.816816,Mouse,406.11,West,David,Bank Transfer
2024-06-06 07:22:45.816819,Camera,159.26,West,Charlie,Credit Card
2024-04-17 07:22:45.816822,Tablet,57.86,East,Eva,Online Payment
2024-04-17 07:22:45.816825,Smartwatch,345.27,West,Charlie,Bank Transfer
2024-05-18 07:22:45.816827,Camera,225.67,North,Alice,Cash
2024-06-22 07:22:45.816830,Mouse,69.8,East,Alice,Cash
2024-05-04 07:22:45.816833,Mouse,252.64,North,Alice,Bank Transfer
2024-11-04 07:22:45.816835,Tablet,26.85,North,Eva,Bank Transfer
2024-08-16 07:22:45.816838,Mouse,455.57,East,Eva,Online Payment
2024-06-01 07:22:45.816841,Mouse,136.8,West,Charlie,Credit Card
2024-05-10 07:22:45.816844,Mouse,334.64,West,Eva,Bank Transfer
2024-05-26 07:22:45.816846,Smartwatch,162.74,West,David,Bank Transfer
2024-04-10 07:22:45.816849,Camera,264.83,West,Alice,Cash
2024-06-28 07:22:45.816851,Smartphone,277.89,South,Alice,Online Payment
2024-12-23 07:22:45.816854,Printer,100.58,West,Alice,Online Payment
2024-12-01 07:22:45.816857,Smartwatch,485.1,West,Alice,Cash
2024-12-27 07:22:45.816859,Laptop,389.82,East,Eva,Credit Card
2024-05-15 07:22:45.816862,Laptop,470.35,East,Alice,Online Payment
2024-02-12 07:22:45.816864,Keyboard,448.47,West,Bob,Bank Transfer
2024-04-23 07:22:45.816868,Smartphone,302.97,East,David,Bank Transfer
2024-03-15 07:22:45.816870,Printer,461.72,East,Charlie,Online Payment
2024-02-27 07:22:45.816873,Printer,53.36,East,David,Cash
2024-03-22 07:22:45.816876,Laptop,106.03,West,Alice,Online Payment
2024-12-10 07:22:45.816879,Smartphone,32.16,North,David,Cash
2024-10-15 07:22:45.816881,TV,169.41,South,Alice,Bank Transfer
2024-09-22 07:22:45.816884,Smartwatch,200.45,South,Eva,Bank Transfer
2024-06-22 07:22:45.816886,Smartwatch,142.96,East,David,Cash
2024-05-11 07:22:45.816889,Keyboard,416.08,North,Eva,Cash
2024-07-02 07:22:45.816892,Printer,184.81,South,Alice,Cash
2024-03-07 07:22:45.816894,Camera,147.66,East,Bob,Cash
2024-04-30 07:22:45.816898,Smartphone,275.92,West,Bob,Online Payment
2024-02-17 07:22:45.816900,Camera,79.05,South,Bob,Cash
